orderbook_id,symbol,currency,isin
TX291,ABB,SEK,CH0012221716
TX358,ADDT B,SEK,SE0014781795
TX364,ALFA,SEK,SE0000695876
TX102,ASSA B,SEK,SE0007100581
TX271,AZN,SEK,GB0009895292
TX63,ATCO A,SEK,SE0017486889
TX2734144,EPI A,SEK,SE0015658109
TX74,INDU C,SEK,SE0000107203
TX75,INVE A,SEK,SE0015811955
TX76,INVE B,SEK,SE0015811963
TX1690254,LUG,SEK,CA5503711080
TX64276,LUMI,SEK,CA5503721063
TX80,NDA SE,SEK,FI4000297767
TX240,SAAB B,SEK,SE0021921269
TX316,SAND,SEK,SE0000667891
TX86,SEB A,SEK,SE0000148884
TX88,SKA B,SEK,SE0000113250
TX90,SKF B,SEK,SE0000108227
TX95,SHB A,SEK,SE0007100599
TX96,SHB B,SEK,SE0007100607
TX70,SWED A,SEK,SE0000242455
TX225,TEL2 B,SEK,SE0005190238
TX324,TELIA,SEK,SE0000667925
TX100,VOLV B,SEK,SE0000115446
